config,seed,output_file,log_file,best_solution,time_found,bit_count,selected_size,a_count,c_count,g_count,t_count,count_min1,count_min2,count_min3,count_min4,min_sum,max_sum
legacy_redumis,206,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_206.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_206.txt,126,10020.5,17440,126,192,240,264,312,192,240,264,312,6,20
legacy_redumis,207,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_207.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_207.txt,124,10025.0,17440,124,179,233,263,317,179,233,263,317,8,20
legacy_redumis,208,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_208.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_208.txt,130,10018.8,17440,130,188,245,275,332,188,245,275,332,7,20
legacy_redumis,209,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_209.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_209.txt,136,10023.5,17440,136,214,234,310,330,214,234,310,330,8,20
legacy_redumis,210,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_210.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_210.txt,134,10023.9,17440,134,188,250,286,348,188,250,286,348,7,19
legacy_redumis,211,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_211.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_211.txt,136,10028.2,17440,136,202,254,290,342,202,254,290,342,8,19
legacy_redumis,212,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_212.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_212.txt,136,10026.4,17440,136,206,250,294,338,206,250,294,338,8,20
legacy_redumis,213,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_213.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_213.txt,128,10014.6,17440,128,192,228,284,320,192,228,284,320,8,19
legacy_redumis,214,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_214.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_214.txt,114,10024.4,17440,114,170,208,248,286,170,208,248,286,7,19
legacy_redumis,215,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_215.txt,/home/vandriel/Documents/GitHub/KaMIS/test/results8/output_8_log_215.txt,128,10019.6,17440,128,188,248,264,324,188,248,264,324,8,19
